"museum_id","museum_name","museum_type","latitude","longitude","locale_code_nces","county_code_fips","state_code_fips","region_code_aam","tax_period","income","revenue","city","state","zip_code","less_than_HS","HS_diploma","some_college","bachelors","median_income"
8400200078,"ALASKA JEWISH MUSEUM","GENERAL MUSEUM",61.18946,-149.86071,1,20,2,6,201312,2658938,34374,"ANCHORAGE","AK",99508,20.2,30.9,42.7,6.2,37326
8400200107,"ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION","GENERAL MUSEUM",61.21833,-149.89456,1,20,2,6,201406,0,0,"ANCHORAGE","AK",99519,0,62.8,18.6,18.6,115357
8409500006,"ALASKA SEALIFE CENTER","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",60.20885,-149.38716,4,122,2,6,NA,NA,NA,"SEWARD","AK",99664,14.2,38.5,39.3,8,35568
8400200082,"ALASKA SPORTS HALL OF FAME","GENERAL MUSEUM",61.08741,-149.6926,4,20,2,6,201312,1370930,615273,"ANCHORAGE","AK",99516,10,38.4,36.6,15,71760
8400200087,"ALASKA ZOO","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",61.12476,-149.79254,1,20,2,6,201312,3310088,2393748,"ANCHORAGE","AK",99507,12.3,33.5,45.1,9.2,47233
8400200152,"ALUTIIQ HERITAGE ENDOWMENT","HISTORIC PRESERVATION",61.18152,-149.88518,1,20,2,6,201312,331826,15734,"ANCHORAGE","AK",99503,9.9,37.1,48.3,4.7,33836
8400200125,"ANCHORAGE MUSEUM","GENERAL MUSEUM",61.21608,-149.8853,1,20,2,6,201312,6851982,4116780,"ANCHORAGE","AK",99501,11.5,43,30.8,14.6,38539
8400200171,"CENTER FOR ALASKAN COASTAL STUDIES","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",59.64585,-151.52423,4,122,2,6,201312,914275,908922,"HOMER","AK",99603,21.1,43.1,30.9,4.9,34100
8400200136,"CHILKAT INDIAN VILLAGE","HISTORIC PRESERVATION",59.24675,-135.47365,4,NA,2,6,201306,0,0,"KLUKWAN","AK",99827,9.1,59.7,30.1,1.1,30792
8400200070,"CHILKAT VALLEY HISTORICAL SOCIETY","HISTORIC PRESERVATION",59.24675,-135.47365,4,NA,2,6,201406,0,0,"HAINES","AK",99827,9.1,59.7,30.1,1.1,30792
8400200134,"CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY","HISTORIC PRESERVATION",61.38967,-149.47465,4,20,2,6,201412,0,0,"CHUGIAK","AK",99567,27.7,41.9,28.9,1.4,56094
8400200067,"CLAUDIA KELSEY DOLL MUSEUM","GENERAL MUSEUM",58.3005,-134.40561,3,110,2,6,201312,0,0,"JUNEAU","AK",99801,18.1,43.9,30.6,7.3,47069
8400200105,"CLAUSEN MEMORIAL MUSEUM","HISTORY MUSEUM",56.80634,-132.96963,4,NA,2,6,201406,86045,86045,"PETERSBURG","AK",99833,20.3,29.5,48.1,2,35872
8400200097,"COPPER VALLEY HISTORICAL SOCIETY","HISTORIC PRESERVATION",61.92025,-145.38294,4,NA,2,6,201404,0,0,"COPPER CENTER","AK",99573,9.7,72.6,17.7,0,41705
8400200163,"CORDOVA HISTORICAL SOCIETY","HISTORIC PRESERVATION",60.07439,-147.99241,4,NA,2,6,201312,47693,34193,"CORDOVA","AK",99574,15.7,45.7,32.9,5.7,45278
8400200106,"EAGLE HISTORICAL SOCIETY OF ALASKA","HISTORIC PRESERVATION",64.78917,-141.20294,4,NA,2,6,201312,16773,14657,"EAGLE","AK",99738,14.3,61.9,9.5,14.3,15833
8400200172,"EAGLE RIVER NATURE CENTER","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",61.23644,-149.27332,4,20,2,6,201312,295812,268677,"EAGLE RIVER","AK",99508,20.2,30.9,42.7,6.2,37326
8400200081,"GOLDBELT HERITAGE FOUNDATION","HISTORIC PRESERVATION",58.33036,-134.47205,3,110,2,6,201312,1549084,1549084,"JUNEAU","AK",99801,18.1,43.9,30.6,7.3,47069
8400200074,"HAMMER MUSEUM","HISTORY MUSEUM",59.24675,-135.47365,4,NA,2,6,201412,0,0,"HAINES","AK",99827,9.1,59.7,30.1,1.1,30792
8400200046,"HOPE AND SUNRISE HISTORICAL SOCIETY","HISTORIC PRESERVATION",60.88669,-149.54407,4,NA,2,6,201412,0,0,"HOPE","AK",99605,0,0,100,0,47250
8400200016,"HOPE AND SUNRISE MUSEUM","GENERAL MUSEUM",60.88669,-149.54407,4,122,2,6,NA,NA,NA,"HOPE","AK",99605,0,0,100,0,47250
8400200146,"IDITAROD NATIONAL HISTORIC TRAIL","HISTORIC PRESERVATION",61.19811,-149.92363,1,20,2,6,201409,91510,91510,"ANCHORAGE","AK",99664,14.2,38.5,39.3,8,35568
8400200124,"INTERNATIONAL GALLERY OF CONTEMPORARY ARTS","ART MUSEUM",61.21824,-149.88931,1,20,2,6,201312,48842,39227,"ANCHORAGE","AK",99510,0,100,0,0,155833
8400200090,"INUPIAT HERITAGE CENTER","GENERAL MUSEUM",70.66976,-155.14303,4,NA,2,6,NA,NA,NA,"BARROW","AK",99723,19.1,58.9,19.8,2.2,41673
8400200059,"JENSEN-OLSON ARBORETUM","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",58.48383,-134.77955,4,110,2,6,201406,0,0,"JUNEAU","AK",99801,18.1,43.9,30.6,7.3,47069
8409502246,"JEWELL GARDENS","ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",59.45637,-135.31356,4,NA,2,6,NA,NA,NA,"SKAGWAY","AK",99840,8.6,47.1,40,4.3,36641
8400200079,"JILKAAT KWAAN HERITAGE CENTER","GENERAL MUSEUM",59.24675,-135.47365,4,NA,2,6,201312,78314,78314,"HAINES","AK",99827,9.1,59.7,30.1,1.1,30792
8400200166,"KAKE TRIBAL HERITAGE FOUNDATION","HISTORIC PRESERVATION",56.97824,-133.94876,4,195,2,6,201312,0,0,"KAKE","AK",99830,17.8,62.2,20,0,19940
8400200151,"KASILOF REGIONAL HISTORICAL ASSOCIATION","HISTORIC PRESERVATION",60.33002,-151.28922,4,NA,2,6,201312,37843,37598,"KASILOF","AK",99610,23.7,38.7,31.8,5.8,34952
8400200040,"KENAI HISTORICAL SOCIETY","HISTORIC PRESERVATION",60.58442,-151.23509,4,122,2,6,201412,0,0,"KENAI","AK",99611,17.7,40.9,38,3.5,42372
8400200017,"KNIK MUSEUM","HISTORY MUSEUM",61.58245,-149.43945,3,170,2,6,201312,39167,36901,"WASILLA","AK",99654,22.4,43.1,32.4,2.1,45621
8400200144,"KODIAK MARITIME MUSEUM AND ART CENTER","ART MUSEUM",57.79263,-152.40165,3,NA,2,6,201312,85602,85352,"KODIAK","AK",99615,8.7,37.5,51.7,2.1,37188
8400200155,"MAXINE & JESSE WHITNEY MUSEUM","GENERAL MUSEUM",61.10482,-146.21652,4,NA,2,6,201306,NA,NA,"VALDEZ","AK",99686,0.4,7.7,91.9,0,47202
8400200083,"MCKINLEY HISTORICAL SOCIETY & MUSEUM","HISTORIC PRESERVATION",61.1804,-149.87975,1,20,2,6,NA,NA,NA,"ANCHORAGE","AK",99503,9.9,37.1,48.3,4.7,33836
8400200140,"MUSEUM OF THE ALEUTIANS","GENERAL MUSEUM",53.87139,-166.54126,4,NA,2,6,201306,638447,609946,"UNALASKA","AK",99685,16.9,40.2,36.9,6,30994
8400200108,"MUSEUMS ALASKA","GENERAL MUSEUM",59.66896,-151.48517,4,122,2,6,201312,433429,433429,"HOMER","AK",99603,21.1,43.1,30.9,4.9,34100
8400200167,"OCEANSALASKA","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",55.35076,-131.67274,3,130,2,6,201212,892091,534898,"KETCHIKAN","AK",99901,21,47.5,26.8,4.8,38333
8400200119,"PALMER HISTORICAL SOCIETY","HISTORIC PRESERVATION",61.59873,-149.11008,3,170,2,6,201312,0,0,"PALMER","AK",99645,22.3,41.3,32.5,3.9,45819
8400200161,"PIONEERS OF ALASKA","HISTORIC PRESERVATION",64.49805,-165.41115,3,NA,2,6,201412,587933,29269,"NOME","AK",99762,16.7,42.2,39,2.2,45395
8400200173,"PRATT MUSEUM","ART MUSEUM",59.6447,-151.5504,4,122,2,6,201312,65544,65544,"HOMER","AK",99603,21.1,43.1,30.9,4.9,34100
8400200160,"RESURRECTION BAY HISTORICAL SOCIETY","HISTORIC PRESERVATION",60.20885,-149.38716,4,NA,2,6,201412,0,0,"SEWARD","AK",99664,14.2,38.5,39.3,8,35568
8400200118,"SAMUEL FOX MUSEUM","GENERAL MUSEUM",59.04004,-158.45869,4,NA,2,6,201406,0,0,"DILLINGHAM","AK",99576,13.5,53.2,33.3,0,49531
8400200126,"SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE","ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",60.20885,-149.38716,4,122,2,6,201309,9601562,9469200,"SEWARD","AK",99664,14.2,38.5,39.3,8,35568
8400200128,"SHELDON MUSEUM AND CULTURAL CENTER","HISTORY MUSEUM",59.24675,-135.47365,4,NA,2,6,201406,323889,323889,"HAINES","AK",99827,9.1,59.7,30.1,1.1,30792
8400200035,"SIMON PANEAK MEMORIAL MUSEUM","GENERAL MUSEUM",68.24085,-151.89265,4,NA,2,6,201312,0,0,"ANAKTUVUK PASS","AK",99721,22.2,44.4,33.3,0,25625
8400200006,"SKAGWAY HISTORICAL MUSEUM & ARCHIVES","HISTORIC PRESERVATION",59.45637,-135.31356,4,NA,2,6,NA,NA,NA,"SKAGWAY","AK",99840,8.6,47.1,40,4.3,36641
8400200120,"SOLDOTNA HISTORICAL SOCIETY AND MUSEUM","HISTORIC PRESERVATION",60.4771,-151.0871,3,122,2,6,201406,15193,15193,"SOLDOTNA","AK",99669,23.8,33.5,42,0.7,45894
8400200113,"TALKEETNA HISTORICAL SOCIETY","HISTORIC PRESERVATION",62.1755,-149.90017,4,NA,2,6,201312,85074,78315,"TALKEETNA","AK",99676,0,52.3,0,47.7,36818
